Country Name,GDP,G,I,C,NX
Guatemala,62186186575.743324,6895271855.567748,9221064195.014893,59329031457.386215,-6363909181.167373
"Hong Kong SAR, China",309383627028.5611,29833458035.553032,66645811295.441055,235345855156.22177,7391960576.898269
Honduras,20833948799.535156,2980347787.6224346,5233067723.709123,19128254121.760193,-3527373045.934158
Croatia,50163192883.15147,10608778864.675846,10210578496.017956,39843852166.07182,108762221.06173258
Haiti,14833154471.745636,1226253172.0386927,2084400649.956443,15491919416.521992,-2743165596.79223
Hungary,125210324613.14026,24676695336.203274,29431337205.659924,86099948985.528,9679038421.952333
Indonesia,860854235065.079,83928241330.1856,293230989065.86115,578489153447.8857,3294646505.239972
India,2103587813812.7495,219368252547.40826,675603621332.7906,1460638226562.3926,-48309642033.95525
Ireland,291580037584.32996,36395836208.30506,75172046890.95348,132376927175.9386,83966575299.69604
"Iran, Islamic Rep.",384951479697.42004,48870622211.54345,131012896832.92734,242494349308.23083,1807238020.0418513
Iraq,166774109673.73242,31130219706.74528,33954627868.493084,123988467561.06418,-939731608.7873104
Iceland,17517210519.091156,4103819029.439563,3398974484.601332,12807031664.33859,1311204370.1512334
Israel,300078278118.43427,67209315037.948685,59502087989.36586,231183104069.29398,9393066506.582056
Italy,1836637711060.546,350987745871.8748,314198517444.53107,1467086926918.2024,55352377649.10153
Jamaica,14188935947.569372,1960343610.0600324,3029611062.000619,13468459380.113499,-2309134494.5447454
Jordan,38587017887.323944,6877464788.732395,8423943661.971831,37596877042.253525,-8592957746.478874
Japan,4444930651964.18,871995122465.1174,1118582261576.9546,3350968358065.594,-24619967678.36885
Kazakhstan,184388432148.71536,21449401361.93711,51458968025.281395,120498836639.25624,7345458383.075142
Kenya,70120413328.7838,8924000672.244942,15498994178.969938,61876663424.27313,-7061067341.627749
Kyrgyz Republic,6678178340.45121,1185735494.189609,2315422550.615012,7232597138.473614,-2710163026.0261455
Cambodia,18049954289.4229,974332893.1227337,4052755911.3514843,14837626913.89589,-799111092.3237662
Kiribati,171117816.66612953,107094883.93058373,71264367.81609195,254006460.82187665,-157028021.93674406
"Korea, Rep.",1465773245547.1497,221090343298.78906,432832297889.5512,932584808039.5524,100356051213.02736
Kuwait,114567298105.68295,27715852442.671986,29132269857.09538,75317713526.0884,10119641076.769691
Lao PDR,14426381187.08944,2179343564.7379737,4552482850.259793,12455275985.52342,-2581428819.3085055
Lebanon,50065946086.17001,6257016957.664179,11095577273.138042,51732161361.96418,-12761792548.932203
Sri Lanka,80604080688.57747,7248471117.771714,25133471703.68233,61542184076.03883,-6071575091.143696
Lesotho,2359759799.0422373,871763866.7910242,718210974.3002923,2678310661.5774083,-1067041829.6248108
Lithuania,41435533340.38826,7132162996.925387,8813239234.130074,33035421231.082405,-413127124.8242185
Luxembourg,60071584216.13747,9592329200.310932,11388662746.106634,29136275612.739437,19546646966.804287
Latvia,27263090547.061707,5007259413.212888,6477341803.033199,21255634110.285538,-469885366.257031
"Macao SAR, China",45047964934.25172,4355666875.391358,11413775829.68065,16283782091.421415,17350281778.334377
Morocco,101179808076.3598,19504726401.278126,31164343578.13668,77703061151.337,-7687596653.113894
Moldova,7745231660.334246,1123434811.4886947,1827488110.1044185,7895858384.036984,-1978114780.6679597
Madagascar,11323020828.58436,1714341609.6010365,1810764800.9722693,10014897683.125696,-502638697.5622329
Maldives,4109424799.7240715,746702316.1073258,1379254036.4303703,2434761491.055101,295409265.73085254
Mexico,1171867608197.7246,144341228964.62082,273198237287.28003,910882961579.4753,-23898112100.351456
Marshall Islands,183814300.0,100364200.0,29250114.917755097,241338700.0,-86173900.0
North Macedonia,10064515432.026518,1708587592.7983274,3059972522.872098,8637235289.563192,-1632710386.390359
Mali,13104764333.994068,2145453143.0957813,2720666725.6415935,12422179736.970701,-2038082128.618226
Malta,11091434483.5238,1895310218.573172,2677483634.749806,7330744369.244425,1083206479.5295684
Myanmar,63045306513.93229,13216367905.918419,20951607266.307114,42772938656.1271,-2534034183.7497263
Montenegro,4052913385.8267717,777992680.4924033,814439392.2590662,3986351336.364645,-747877342.7969391
Mongolia,11619892396.076717,1728084130.5009387,2848482820.0568724,8920790613.980791,-149381037.96094543
Mozambique,15950969018.945787,4135661989.6204586,6579635908.209842,14436143205.152254,-5064810094.4163065
Mauritania,6166857628.622117,901457470.9245024,2371864527.8927655,4840676128.523557,-1045683027.7942047
Mauritius,11692287066.381035,1746057101.7808294,2115258994.7142773,10480649918.560503,-1085641261.156926
Malaysia,301354803994.36694,39436979644.09167,76617238765.84305,202053657150.17282,22683908334.400204
Namibia,11335179562.02113,3086408728.5260715,3463627353.107849,10875053190.911278,-3003520497.7526608
New Caledonia,8738203041.548193,2082689574.5224044,3034125396.66918,7793247731.157856,-2089170086.2788424
Niger,9683867893.683432,1597602009.5678082,3133391981.2480035,8118360986.428382,-1567885073.992954
Nigeria,486803295097.8898,28892549860.420486,75406337121.60347,411397116788.51526,-158812.22898609727
Nicaragua,12756706583.311321,1792616888.2627456,4270530656.5701036,10785822253.529396,-2299572950.6031523
